,id,interest_rate,balance,owner,type
79,2464233,1,13365305743.570002,1-441-645,FixedTermDeposit
80,1813743,1,33733197929.320004,10-644-825,SavingAccount
81,4649961,2,15083570425.730001,10-644-825,FixedTermDeposit
82,4838922,2,17977234150.280006,1-863-880,SavingAccount
83,5663820,1,29870598181.24,1-863-880,FixedTermDeposit
84,8517544,1,11097372200.669998,1-863-880,SavingAccount
85,3731779,1,19207351057.0,4-334-255,SavingAccount
86,7949015,1,22882827097.109993,4-334-255,SavingAccount
87,1783684,2,10347945910.010004,4-334-255,SavingAccount
88,8887905,1,22926486868.370003,4-334-255,FixedTermDeposit
89,2593103,2,7939428240.43,7-385-280,SavingAccount
90,4517260,1,7732171517.44,7-385-280,SavingAccount
91,4899348,2,35396197346.049995,8-370-22,FixedTermDeposit
92,4178147,2,16396031422.269999,8-370-22,FixedTermDeposit
93,4915700,2,15628877771.65,9-479-993,FixedTermDeposit
94,5290153,1,11526253183.19,9-479-993,FixedTermDeposit
95,2683330,1,10056647598.229998,9-479-993,SavingAccount
96,1176530,1,4659603053.36,8-208-343,FixedTermDeposit
97,8797638,1,30643905838.050003,8-208-343,FixedTermDeposit
98,7657572,2,23017223652.690002,8-208-343,SavingAccount
99,6843722,2,12478256214.199999,1-307-421,FixedTermDeposit
100,4349017,1,14642318090.330002,3-810-372,SavingAccount
101,3368776,1,25695807583.3,3-482-553,SavingAccount
102,3656248,2,26477987462.620003,10-953-562,SavingAccount
103,4075571,1,35957638283.869995,2-183-946,SavingAccount
104,8451535,2,38426769561.47,3-338-906,SavingAccount
105,1548211,2,10235189322.07,2-385-574,SavingAccount
106,8696378,2,37425789239.079994,7-307-345,FixedTermDeposit
107,4903091,1,31927486237.109997,1-859-819,FixedTermDeposit
108,7910650,1,16771931348.46,10-269-30,FixedTermDeposit
109,9145766,1,11282754493.849998,1-164-837,SavingAccount
110,8938753,1,40223790665.49,9-110-441,SavingAccount
111,4742216,1,20132032277.039997,9-110-441,FixedTermDeposit
112,6636818,1,26426361092.06001,9-110-441,FixedTermDeposit
113,7195972,1,20982657317.329998,10-257-728,SavingAccount
114,7604044,2,22028142501.570007,10-257-728,SavingAccount
115,4690665,1,36881691326.409996,10-257-728,FixedTermDeposit
116,6083339,1,2646178556.0400004,1-662-305,SavingAccount
117,6997698,1,33754971830.970013,1-662-305,SavingAccount
118,8973103,2,7122497124.790001,9-546-877,SavingAccount
119,7389576,2,10068351293.569998,6-133-712,SavingAccount
120,2922270,1,7474766126.750001,7-563-952,SavingAccount
121,3229136,1,27924987217.880005,9-491-664,FixedTermDeposit
122,2368823,1,29013114270.889996,9-104-371,SavingAccount
123,7402096,2,9297900750.409998,4-550-211,SavingAccount
124,9904431,2,38819281553.42999,4-550-211,SavingAccount
